Season,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD
2000-01,00,22000,1610612755,Philadelphia,76ers,East,40-14,1,,Atlantic,18-6,1,56,26,0.683,None,56-26,29-12,27-14
2000-01,00,22000,1610612759,SanAntonio,Spurs,West,39-13,1,,Midwest,19-5,1,58,24,0.707,None,58-24,33-8,25-16
2000-01,00,22000,1610612747,LosAngeles,Lakers,West,34-18,2,,Pacific,14-10,1,56,26,0.683,None,56-26,31-10,25-16
2000-01,00,22000,1610612749,Milwaukee,Bucks,East,38-16,2,,Central,19-9,1,52,30,0.634,None,52-30,31-10,21-20
2000-01,00,22000,1610612758,Sacramento,Kings,West,35-17,3,,Pacific,16-8,2,55,27,0.671,None,55-27,33-8,22-19
2000-01,00,22000,1610612748,Miami,Heat,East,34-20,3,,Atlantic,15-10,2,50,32,0.61,None,50-32,29-12,21-20
2000-01,00,22000,1610612752,NewYork,Knicks,East,32-22,4,,Atlantic,16-9,3,48,34,0.585,None,48-34,30-11,18-23
2000-01,00,22000,1610612762,Utah,Jazz,West,31-21,4,,Midwest,14-10,2,53,29,0.646,None,53-29,28-13,25-16
2000-01,00,22000,1610612742,Dallas,Mavericks,West,30-22,4,,Midwest,14-10,2,53,29,0.646,None,53-29,28-13,25-16
2000-01,00,22000,1610612761,Toronto,Raptors,East,36-18,5,,Central,18-10,2,47,35,0.573,None,47-35,27-14,20-21
2000-01,00,22000,1610612756,Phoenix,Suns,West,30-22,6,,Pacific,12-12,3,51,31,0.622,None,51-31,31-10,20-21
2000-01,00,22000,1610612766,Charlotte,Hornets,East,37-17,6,,Central,20-8,3,46,36,0.561,None,46-36,28-13,18-23
2000-01,00,22000,1610612753,Orlando,Magic,East,30-24,7,,Atlantic,14-10,4,43,39,0.524,None,43-39,26-15,17-24
2000-01,00,22000,1610612757,Portland,TrailBlazers,West,26-26,7,,Pacific,12-12,4,50,32,0.61,None,50-32,28-13,22-19
2000-01,00,22000,1610612750,Minnesota,Timberwolves,West,27-25,8,,Midwest,11-13,4,47,35,0.573,None,47-35,30-11,17-24
2000-01,00,22000,1610612754,Indiana,Pacers,East,29-25,8,,Central,15-13,4,41,41,0.5,None,41-41,26-15,15-26
2000-01,00,22000,1610612745,Houston,Rockets,West,20-32,9,,Midwest,11-13,5,45,37,0.549,None,45-37,24-17,21-20
2000-01,00,22000,1610612738,Boston,Celtics,East,24-30,9,,Atlantic,11-13,5,36,46,0.439,None,36-46,20-21,16-25
2000-01,00,22000,1610612760,Seattle,SuperSonics,West,27-25,10,,Pacific,17-7,5,44,38,0.537,None,44-38,26-15,18-23
2000-01,00,22000,1610612765,Detroit,Pistons,East,25-29,10,,Central,16-12,5,32,50,0.39,None,32-50,18-23,14-27
2000-01,00,22000,1610612739,Cleveland,Cavaliers,East,22-32,11,,Central,11-17,6,30,52,0.366,None,30-52,20-21,10-31
2000-01,00,22000,1610612743,Denver,Nuggets,West,27-25,11,,Midwest,13-11,6,40,42,0.488,None,40-42,29-12,11-30
2000-01,00,22000,1610612746,LosAngeles,Clippers,West,18-34,12,,Pacific,9-15,6,31,51,0.378,None,31-51,22-19,9-32
2000-01,00,22000,1610612751,NewJersey,Nets,East,16-38,12,,Atlantic,8-16,6,26,56,0.317,None,26-56,18-23,8-33
2000-01,00,22000,1610612737,Atlanta,Hawks,East,16-38,13,,Central,9-19,7,25,57,0.305,None,25-57,18-23,7-34
2000-01,00,22000,1610612763,Vancouver,Grizzlies,West,11-41,13,,Midwest,2-22,7,23,59,0.28,None,23-59,15-26,8-33
2000-01,00,22000,1610612764,Washington,Wizards,East,13-41,14,,Atlantic,3-21,7,19,63,0.232,None,19-63,12-29,7-34
2000-01,00,22000,1610612744,GoldenState,Warriors,West,9-43,14,,Pacific,4-20,7,17,65,0.207,None,17-65,11-30,6-35
2000-01,00,22000,1610612741,Chicago,Bulls,East,13-41,15,,Central,4-24,8,15,67,0.183,None,15-67,10-31,5-36
2001-02,00,22001,1610612751,NewJersey,Nets,East,35-19,1,-e,Atlantic,16-8,1,52,30,0.634,None,52-30,33-8,19-22
2001-02,00,22001,1610612758,Sacramento,Kings,West,37-15,1,-w,Pacific,15-9,1,61,21,0.744,None,61-21,36-5,25-16
2001-02,00,22001,1610612765,Detroit,Pistons,East,38-16,2,-c,Central,20-8,1,50,32,0.61,None,50-32,26-15,24-17
2001-02,00,22001,1610612759,SanAntonio,Spurs,West,38-14,2,None,Midwest,21-3,1,58,24,0.707,None,58-24,32-9,26-15
2001-02,00,22001,1610612738,Boston,Celtics,East,35-19,3,-e,Atlantic,17-7,2,49,33,0.598,None,49-33,27-14,22-19
2001-02,00,22001,1610612747,LosAngeles,Lakers,West,37-15,3,-w,Pacific,16-8,2,58,24,0.707,None,58-24,34-7,24-17
2001-02,00,22001,1610612742,Dallas,Mavericks,West,34-18,4,-x,Midwest,16-8,2,57,25,0.695,None,57-25,30-11,27-14
2001-02,00,22001,1610612766,Charlotte,Hornets,East,31-23,4,,Central,17-11,2,44,38,0.537,0,44-38,21-20,23-18
2001-02,00,22001,1610612750,Minnesota,Timberwolves,West,29-23,5,-x,Midwest,15-9,3,50,32,0.61,None,50-32,29-12,21-20
2001-02,00,22001,1610612753,Orlando,Magic,East,29-25,5,-a,Atlantic,12-12,3,44,38,0.537,None,44-38,27-14,17-24
2001-02,00,22001,1610612755,Philadelphia,76ers,East,31-23,6,-x,Atlantic,14-11,4,43,39,0.524,None,43-39,22-19,21-20
2001-02,00,22001,1610612757,Portland,TrailBlazers,West,27-25,6,-x,Pacific,14-10,3,49,33,0.598,None,49-33,30-11,19-22
2001-02,00,22001,1610612761,Toronto,Raptors,East,29-25,7,-x,Central,17-11,3,42,40,0.512,None,42-40,24-17,18-23
2001-02,00,22001,1610612760,Seattle,SuperSonics,West,26-26,7,-x,Pacific,13-11,4,45,37,0.549,None,45-37,26-15,19-22
2001-02,00,22001,1610612754,Indiana,Pacers,East,27-27,8,-x,Central,13-15,4,42,40,0.512,None,42-40,25-16,17-24
2001-02,00,22001,1610612762,Utah,Jazz,West,25-27,8,None,Midwest,8-16,4,44,38,0.537,None,44-38,25-16,19-22
2001-02,00,22001,1610612746,LosAngeles,Clippers,West,23-29,9,-o,Pacific,9-15,5,39,43,0.476,None,39-43,25-16,14-27
2001-02,00,22001,1610612749,Milwaukee,Bucks,East,29-25,9,-o,Central,17-11,5,41,41,0.5,None,41-41,25-16,16-25
2001-02,00,22001,1610612764,Washington,Wizards,East,25-29,10,-x,Atlantic,12-13,5,37,45,0.451,None,37-45,22-19,15-26
2001-02,00,22001,1610612756,Phoenix,Suns,West,24-28,10,-x,Pacific,12-12,6,36,46,0.439,None,36-46,23-18,13-28
2001-02,00,22001,1610612745,Houston,Rockets,West,18-34,11,-x,Midwest,9-15,5,28,54,0.341,None,28-54,18-23,10-31
2001-02,00,22001,1610612748,Miami,Heat,East,22-32,11,-o,Atlantic,10-14,6,36,46,0.439,None,36-46,18-23,18-23
2001-02,00,22001,1610612743,Denver,Nuggets,West,19-33,12,-x,Midwest,8-16,6,27,55,0.329,None,27-55,20-21,7-34
2001-02,00,22001,1610612737,Atlanta,Hawks,East,21-33,12,-x,Central,11-17,6,33,49,0.402,None,33-49,23-18,10-31
2001-02,00,22001,1610612763,Memphis,Grizzlies,West,14-38,13,-o,Midwest,7-17,7,23,59,0.28,None,23-59,15-26,8-33
2001-02,00,22001,1610612752,NewYork,Knicks,East,20-34,13,-o,Atlantic,4-20,7,30,52,0.366,None,30-52,19-22,11-30
2001-02,00,22001,1610612739,Cleveland,Cavaliers,East,20-34,14,-x,Central,12-16,7,29,53,0.354,None,29-53,20-21,9-32
2001-02,00,22001,1610612744,GoldenState,Warriors,West,13-39,14,-o,Pacific,5-19,7,21,61,0.256,None,21-61,14-27,7-34
2001-02,00,22001,1610612741,Chicago,Bulls,East,13-41,15,-o,Central,5-23,8,21,61,0.256,None,21-61,14-27,7-34
2002-03,00,22002,1610612759,SanAntonio,Spurs,West,36-16,1,-w,Midwest,17-7,1,60,22,0.732,None,60-22,33-8,27-14
2002-03,00,22002,1610612765,Detroit,Pistons,East,35-19,1,-e,Central,19-9,1,50,32,0.61,None,50-32,30-11,20-21
2002-03,00,22002,1610612751,NewJersey,Nets,East,34-20,2,-a,Atlantic,16-8,1,49,33,0.598,None,49-33,33-8,16-25
2002-03,00,22002,1610612758,Sacramento,Kings,West,36-16,2,-p,Pacific,17-7,1,59,23,0.72,None,59-23,35-6,24-17
2002-03,00,22002,1610612754,Indiana,Pacers,East,35-19,3,-x,Central,19-9,2,48,34,0.585,None,48-34,32-9,16-25
2002-03,00,22002,1610612742,Dallas,Mavericks,West,34-18,3,-x,Midwest,18-6,2,60,22,0.732,None,60-22,33-8,27-14
2002-03,00,22002,1610612750,Minnesota,Timberwolves,West,33-19,4,-x,Midwest,15-9,3,51,31,0.622,None,51-31,33-8,18-23
2002-03,00,22002,1610612755,Philadelphia,76ers,East,35-19,4,-x,Atlantic,17-7,2,48,34,0.585,None,48-34,25-16,23-18
2002-03,00,22002,1610612740,NewOrleans,Hornets,East,32-22,5,-c,Central,17-11,3,47,35,0.573,None,47-35,29-12,18-23
2002-03,00,22002,1610612747,LosAngeles,Lakers,West,33-19,5,-w,Pacific,15-9,2,50,32,0.61,None,50-32,31-10,19-22
2002-03,00,22002,1610612738,Boston,Celtics,East,31-23,6,-e,Atlantic,13-12,3,44,38,0.537,None,44-38,25-16,19-22
2002-03,00,22002,1610612757,Portland,TrailBlazers,West,29-23,6,-x,Pacific,15-9,3,50,32,0.61,None,50-32,27-14,23-18
2002-03,00,22002,1610612749,Milwaukee,Bucks,East,32-22,7,-x,Central,16-12,4,42,40,0.512,None,42-40,25-16,17-24
2002-03,00,22002,1610612762,Utah,Jazz,West,30-22,7,None,Midwest,15-9,4,47,35,0.573,None,47-35,29-12,18-23
2002-03,00,22002,1610612753,Orlando,Magic,East,31-23,8,-a,Atlantic,14-11,4,42,40,0.512,None,42-40,26-15,16-25
2002-03,00,22002,1610612756,Phoenix,Suns,West,26-26,8,-x,Pacific,12-12,4,44,38,0.537,None,44-38,30-11,14-27
2002-03,00,22002,1610612745,Houston,Rockets,West,26-26,9,-x,Midwest,11-13,5,43,39,0.524,None,43-39,28-13,15-26
2002-03,00,22002,1610612764,Washington,Wizards,East,26-28,9,-x,Atlantic,11-13,5,37,45,0.451,None,37-45,23-18,14-27
2002-03,00,22002,1610612760,Seattle,SuperSonics,West,26-26,10,-o,Pacific,11-13,5,40,42,0.488,None,40-42,25-16,15-26
2002-03,00,22002,1610612752,NewYork,Knicks,East,23-31,10,-o,Atlantic,9-15,6,37,45,0.451,None,37-45,24-17,13-28
2002-03,00,22002,1610612744,GoldenState,Warriors,West,19-33,11,-o,Pacific,8-16,6,38,44,0.463,None,38-44,24-17,14-27
2002-03,00,22002,1610612737,Atlanta,Hawks,East,24-30,11,-x,Central,14-14,5,35,47,0.427,None,35-47,26-15,9-32
2002-03,00,22002,1610612741,Chicago,Bulls,East,22-32,12,-o,Central,12-16,6,30,52,0.366,None,30-52,27-14,3-38
2002-03,00,22002,1610612763,Memphis,Grizzlies,West,12-40,12,-o,Midwest,5-19,6,28,54,0.341,None,28-54,20-21,8-33
2002-03,00,22002,1610612748,Miami,Heat,East,18-36,13,-o,Atlantic,5-19,7,25,57,0.305,None,25-57,16-25,9-32
2002-03,00,22002,1610612746,LosAngeles,Clippers,West,16-36,13,-o,Pacific,6-18,7,27,55,0.329,None,27-55,16-25,11-30
2002-03,00,22002,1610612743,Denver,Nuggets,West,8-44,14,-x,Midwest,3-21,7,17,65,0.207,None,17-65,13-28,4-37
2002-03,00,22002,1610612761,Toronto,Raptors,East,18-36,14,-x,Central,10-18,7,24,58,0.293,None,24-58,15-26,9-32
2002-03,00,22002,1610612739,Cleveland,Cavaliers,East,9-45,15,-x,Central,5-23,8,17,65,0.207,None,17-65,14-27,3-38
2003-04,00,22003,1610612750,Minnesota,Timberwolves,West,58-24,1,-w,Midwest,58-24,1,58,24,0.707,2,58-24,31-10,27-14
2003-04,00,22003,1610612754,Indiana,Pacers,East,61-21,1,-e,Central,61-21,1,61,21,0.744,1,61-21,34-7,27-14
2003-04,00,22003,1610612747,LosAngeles,Lakers,West,56-26,2,-w,Pacific,56-26,1,56,26,0.683,4,56-26,34-7,22-19
2003-04,00,22003,1610612751,NewJersey,Nets,East,47-35,2,-e,Atlantic,47-35,1,47,35,0.573,9,47-35,28-13,19-22
2003-04,00,22003,1610612765,Detroit,Pistons,East,54-28,3,-x,Central,54-28,2,54,28,0.659,6,54-28,31-10,23-18
2003-04,00,22003,1610612759,SanAntonio,Spurs,West,57-25,3,-x,Midwest,57-25,2,57,25,0.695,3,57-25,33-8,24-17
2003-04,00,22003,1610612758,Sacramento,Kings,West,55-27,4,-x,Pacific,55-27,2,55,27,0.671,5,55-27,34-7,21-20
2003-04,00,22003,1610612748,Miami,Heat,East,42-40,4,-e,Atlantic,42-40,2,42,40,0.512,12,42-40,29-12,13-28
2003-04,00,22003,1610612740,NewOrleans,Hornets,East,41-41,5,-e,Central,41-41,3,41,41,0.5,14,41-41,25-16,16-25
2003-04,00,22003,1610612742,Dallas,Mavericks,West,52-30,5,,Midwest,52-30,3,52,30,0.634,7,52-30,36-5,16-25
2003-04,00,22003,1610612763,Memphis,Grizzlies,West,50-32,6,-x,Midwest,50-32,4,50,32,0.61,8,50-32,31-10,19-22
2003-04,00,22003,1610612749,Milwaukee,Bucks,East,41-41,6,-o,Central,41-41,4,41,41,0.5,15,41-41,27-14,14-27
2003-04,00,22003,1610612745,Houston,Rockets,West,45-37,7,-x,Midwest,45-37,5,45,37,0.549,10,45-37,27-14,18-23
2003-04,00,22003,1610612752,NewYork,Knicks,East,39-43,7,-o,Atlantic,39-43,3,39,43,0.476,17,39-43,23-18,16-25
2003-04,00,22003,1610612743,Denver,Nuggets,West,43-39,8,-x,Midwest,43-39,6,43,39,0.524,11,43-39,29-12,14-27
2003-04,00,22003,1610612738,Boston,Celtics,East,36-46,8,-e,Atlantic,36-46,4,36,46,0.439,20,36-46,19-22,17-24
2003-04,00,22003,1610612762,Utah,Jazz,West,42-40,9,None,Midwest,42-40,7,42,40,0.512,13,42-40,28-13,14-27
2003-04,00,22003,1610612739,Cleveland,Cavaliers,East,35-47,9,-c,Central,35-47,5,35,47,0.427,21,35-47,23-18,12-29
2003-04,00,22003,1610612757,Portland,TrailBlazers,West,41-41,10,-x,Pacific,41-41,3,41,41,0.5,16,41-41,25-16,16-25
2003-04,00,22003,1610612761,Toronto,Raptors,East,33-49,10,-x,Central,33-49,6,33,49,0.402,22,33-49,18-23,15-26
2003-04,00,22003,1610612744,GoldenState,Warriors,West,37-45,11,-o,Pacific,37-45,4,37,45,0.451,18,37-45,27-14,10-31
2003-04,00,22003,1610612755,Philadelphia,76ers,East,33-49,11,-x,Atlantic,33-49,5,33,49,0.402,23,33-49,21-20,12-29
2003-04,00,22003,1610612737,Atlanta,Hawks,East,28-54,12,-x,Central,28-54,7,28,54,0.341,26,28-54,18-23,10-31
2003-04,00,22003,1610612760,Seattle,SuperSonics,West,37-45,12,-o,Pacific,37-45,5,37,45,0.451,19,37-45,21-20,16-25
2003-04,00,22003,1610612764,Washington,Wizards,East,25-57,13,-x,Atlantic,25-57,6,25,57,0.305,27,25-57,17-24,8-33
2003-04,00,22003,1610612756,Phoenix,Suns,West,29-53,13,-x,Pacific,29-53,6,29,53,0.354,24,29-53,18-23,11-30
2003-04,00,22003,1610612741,Chicago,Bulls,East,23-59,14,-o,Central,23-59,8,23,59,0.28,28,23-59,14-27,9-32
2003-04,00,22003,1610612746,LosAngeles,Clippers,West,28-54,14,-o,Pacific,28-54,7,28,54,0.341,25,28-54,18-23,10-31
2003-04,00,22003,1610612753,Orlando,Magic,East,21-61,15,-a,Atlantic,21-61,7,21,61,0.256,29,21-61,11-30,10-31
2004-05,00,22004,1610612756,Phoenix,Suns,West,38-14,1,-w,Pacific,12-4,1,62,20,0.756,1,62-20,31-10,31-10
2004-05,00,22004,1610612748,Miami,Heat,East,41-11,1,-e,Southeast,15-1,1,59,23,0.72,2,59-23,35-6,24-17
2004-05,00,22004,1610612759,SanAntonio,Spurs,West,36-16,2,-sw,Southwest,10-6,1,59,23,0.72,3,59-23,38-3,21-20
2004-05,00,22004,1610612765,Detroit,Pistons,East,35-17,2,-c,Central,8-8,1,54,28,0.659,5,54-28,32-9,22-19
2004-05,00,22004,1610612741,Chicago,Bulls,East,32-20,3,-x,Central,8-8,2,47,35,0.573,10,47-35,27-14,20-21
2004-05,00,22004,1610612742,Dallas,Mavericks,West,35-17,3,-x,Southwest,11-5,2,58,24,0.707,4,58-24,29-12,29-12
2004-05,00,22004,1610612738,Boston,Celtics,East,30-22,4,-a,Atlantic,8-8,1,45,37,0.549,11,45-37,27-14,18-23
2004-05,00,22004,1610612760,Seattle,SuperSonics,West,31-21,4,-nw,Northwest,11-5,1,52,30,0.634,6,52-30,26-15,26-15
2004-05,00,22004,1610612764,Washington,Wizards,East,28-24,5,-x,Southeast,10-6,2,45,37,0.549,12,45-37,29-12,16-25
2004-05,00,22004,1610612745,Houston,Rockets,West,33-19,5,-x,Southwest,10-6,3,51,31,0.622,None,51-31,26-15,25-16
2004-05,00,22004,1610612754,Indiana,Pacers,East,29-23,6,-x,Central,9-7,3,44,38,0.537,14,44-38,25-16,19-22
2004-05,00,22004,1610612758,Sacramento,Kings,West,28-24,6,-x,Pacific,10-6,2,50,32,0.61,8,50-32,30-11,20-21
2004-05,00,22004,1610612755,Philadelphia,76ers,East,33-19,7,-x,Atlantic,8-8,2,43,39,0.524,16,43-39,25-16,18-23
2004-05,00,22004,1610612743,Denver,Nuggets,West,28-24,7,-x,Northwest,9-7,2,49,33,0.598,9,49-33,31-10,18-23
2004-05,00,22004,1610612751,NewJersey,Nets,East,31-21,8,-x,Atlantic,11-5,3,42,40,0.512,17,42-40,24-17,18-23
2004-05,00,22004,1610612763,Memphis,Grizzlies,West,27-25,8,-x,Southwest,7-9,4,45,37,0.549,13,45-37,26-15,19-22
2004-05,00,22004,1610612739,Cleveland,Cavaliers,East,26-26,9,-o,Central,7-9,4,42,40,0.512,18,42-40,29-12,13-28
2004-05,00,22004,1610612750,Minnesota,Timberwolves,West,30-22,9,-o,Northwest,10-6,3,44,38,0.537,15,44-38,24-17,20-21
2004-05,00,22004,1610612753,Orlando,Magic,East,21-31,10,-o,Southeast,6-10,3,36,46,0.439,20,36-46,24-17,12-29
2004-05,00,22004,1610612746,LosAngeles,Clippers,West,20-32,10,-o,Pacific,6-10,3,37,45,0.451,None,37-45,27-14,10-31
2004-05,00,22004,1610612761,Toronto,Raptors,East,20-32,11,-o,Atlantic,7-9,4,33,49,0.402,23,33-49,22-19,11-30
2004-05,00,22004,1610612747,LosAngeles,Lakers,West,21-31,11,-w,Pacific,6-10,4,34,48,0.415,21,34-48,22-19,12-29
2004-05,00,22004,1610612744,GoldenState,Warriors,West,20-32,12,-o,Pacific,6-10,5,34,48,0.415,22,34-48,20-21,14-27
2004-05,00,22004,1610612752,NewYork,Knicks,East,21-31,12,-o,Atlantic,6-10,5,33,49,0.402,24,33-49,22-19,11-30
2004-05,00,22004,1610612749,Milwaukee,Bucks,East,24-28,13,-o,Central,8-8,5,30,52,0.366,25,30-52,23-18,7-34
2004-05,00,22004,1610612757,Portland,TrailBlazers,West,13-39,13,-o,Northwest,4-12,4,27,55,0.329,26,27-55,18-23,9-32
2004-05,00,22004,1610612766,Charlotte,Bobcats,East,11-41,14,-o,Southeast,7-9,4,18,64,0.22,28,18-64,14-27,4-37
2004-05,00,22004,1610612762,Utah,Jazz,West,20-32,14,-o,Northwest,6-10,5,26,56,0.317,27,26-56,18-23,8-33
2004-05,00,22004,1610612740,NewOrleans,Hornets,West,10-42,15,-sw,Southwest,2-14,5,18,64,0.22,29,18-64,11-30,7-34
2004-05,00,22004,1610612737,Atlanta,Hawks,East,8-44,15,-o,Southeast,2-14,5,13,69,0.159,30,13-69,9-32,4-37
2005-06,00,22005,1610612765,Detroit,Pistons,East,39-13,1,-e,Central,13-3,1,64,18,0.78,1,64-18,37-4,27-14
2005-06,00,22005,1610612759,SanAntonio,Spurs,West,42-10,1,-w,Southwest,13-3,1,63,19,0.768,None,63-19,34-7,29-12
2005-06,00,22005,1610612742,Dallas,Mavericks,West,37-15,2,-x,Southwest,13-3,2,60,22,0.732,None,60-22,34-7,26-15
2005-06,00,22005,1610612748,Miami,Heat,East,35-17,2,-se,Southeast,13-3,1,52,30,0.634,5,52-30,31-10,21-20
2005-06,00,22005,1610612756,Phoenix,Suns,West,32-20,3,-p,Pacific,10-6,1,54,28,0.659,4,54-28,31-10,23-18
2005-06,00,22005,1610612739,Cleveland,Cavaliers,East,34-18,3,-x,Central,11-5,2,50,32,0.61,6,50-32,31-10,19-22
2005-06,00,22005,1610612743,Denver,Nuggets,West,25-27,4,-nw,Northwest,10-6,1,44,38,0.537,12,44-38,26-15,18-23
2005-06,00,22005,1610612751,NewJersey,Nets,East,33-19,4,-a,Atlantic,10-6,1,49,33,0.598,7,49-33,29-12,20-21
2005-06,00,22005,1610612764,Washington,Wizards,East,29-23,5,-x,Southeast,8-8,2,42,40,0.512,13,42-40,27-14,15-26
2005-06,00,22005,1610612763,Memphis,Grizzlies,West,31-21,5,-x,Southwest,6-10,3,49,33,0.598,8,49-33,30-11,19-22
2005-06,00,22005,1610612746,LosAngeles,Clippers,West,27-25,6,-x,Pacific,7-9,2,47,35,0.573,9,47-35,27-14,20-21
2005-06,00,22005,1610612754,Indiana,Pacers,East,24-28,6,-x,Central,6-10,3,41,41,0.5,14,41-41,27-14,14-27
2005-06,00,22005,1610612741,Chicago,Bulls,East,30-22,7,-x,Central,4-12,4,41,41,0.5,None,41-41,21-20,20-21
2005-06,00,22005,1610612747,LosAngeles,Lakers,West,27-25,7,-x,Pacific,9-7,3,45,37,0.549,10,45-37,27-14,18-23
2005-06,00,22005,1610612749,Milwaukee,Bucks,East,29-23,8,-x,Central,6-10,5,40,42,0.481,None,40-42,24-16,15-26
2005-06,00,22005,1610612758,Sacramento,Kings,West,30-22,8,-x,Pacific,10-6,4,44,38,0.537,11,44-38,27-14,17-24
2005-06,00,22005,1610612755,Philadelphia,76ers,East,22-30,9,-o,Atlantic,10-6,2,38,44,0.463,19,38-44,23-18,15-26
2005-06,00,22005,1610612762,Utah,Jazz,West,26-26,9,-o,Northwest,11-5,2,41,41,0.5,16,41-41,22-19,19-22
2005-06,00,22005,1610612753,Orlando,Magic,East,24-28,10,-o,Southeast,9-7,3,36,46,0.439,None,36-46,26-15,10-31
2005-06,00,22005,1610612740,NewOrleans/OklahomaCity,Hornets,West,25-27,10,-o,Southwest,7-9,4,38,44,0.463,18,38-44,24-17,14-27
